feature,rmse,nb_zeros,nunique
21e0e6ae3,0.8003775450408289,4205,149
1b681c3f0,0.8003801251588382,4211,160
c83fc48f2,0.8003807688408195,4114,152
761b8e0ec,0.8003846608438567,4292,92
64534cc93,0.8003861487450075,4118,196
dbfa2b77f,0.8003940768549371,3918,214
5b9e32dbe,0.8003989411630401,4231,97
f016fd549,0.8004007834492408,4133,187
b3abb64d2,0.8004022882510166,4284,104
a0a8005ca,0.8004036709233202,4159,143
faf024fa9,0.8004050107785494,4164,163
14c2463ff,0.8004155729264679,4160,135
9b39b02c0,0.8004182318643667,4209,148
6fa35fbba,0.8004189928026706,3822,275
1435ecf6b,0.8004192663006235,4140,184
aba01a001,0.8004197691716097,4317,84
22b980fc8,0.8004199218941209,4374,63
fb5f5836e,0.8004210979368501,3806,289
c270cb02b,0.8004254945110058,4225,90
914d2a395,0.8004336256801801,4374,61
d15e80536,0.800434358476399,4341,80
38f49406e,0.8004351064741382,4294,122
a208e54c7,0.8004372606521546,4069,196
8d4d84ddc,0.8004374643474583,4270,120
66146c12d,0.8004384448164021,3794,243
cdbe394fb,0.8004415859169283,4110,147
90e069c70,0.8004438727870555,4387,25
7d287013b,0.8004478728100445,4164,239
935ca66a9,0.8004516634391262,3566,268
81e4c7077,0.8004526126624176,4365,67
b56f52246,0.8004535967620351,4193,180
8337d1adc,0.8004556330238071,3768,203
080cd72ff,0.8004582608410992,4188,171
26f222d6d,0.8004612510968321,4289,69
c3f400e36,0.8004617800062704,3920,163
f5e0f4a16,0.8004618203179997,4279,87
5bc7ab64f,0.8004622500496867,4093,191
caa9883f6,0.8004634604740095,4149,248
a84bafe34,0.8004646080509632,4410,25
994b946ad,0.8004654190924596,4114,170
05d17ab7a,0.8004658167877404,4245,100
edad0778a,0.8004712385999393,4449,11
067bcb836,0.8004722087718154,4411,26
105233ed9,0.8004723668320259,4294,76
939cc02f5,0.8004736716707179,3967,244
1ce516986,0.8004744067385984,4185,171
2dbeac1de,0.8004752370402268,4317,110
4824c1e90,0.8004764583088306,3861,415
6ba70f5f8,0.8004773865558832,4369,60
de0aaf6f4,0.8004784349854579,4390,31
2a933bcb8,0.8004811042383375,4296,75
ea26c7fe6,0.8004812359543864,4248,130
96b6bd42b,0.8004816930118375,4111,166
3da5e42a7,0.8004862062556817,4184,214
3908749a1,0.8004862219574775,4363,66
372daeab0,0.8004892998284011,4370,64
c30ff7f31,0.8004894152197035,4143,241
9d4f88c7b,0.8004904604887819,4295,82
55dbd6bcb,0.8004904956423229,4273,120
580f5ff06,0.800490840263725,3890,209
fbaed5913,0.8004916926979028,4210,87
3be3c049e,0.8004922019525424,4300,91
c976a87ad,0.8004925340280984,3821,365
d58172aef,0.8004946405604396,4282,98
ea18d720e,0.8004984599464153,4350,75
ccc7609f4,0.800501752915364,4286,134
b70c62d47,0.800506647882352,4287,90
121d8697e,0.8005072176461548,4340,84
2135da74a,0.8005078059850492,4366,56
8c8616b62,0.8005117653286723,4212,105
62fb56487,0.8005133868374581,3617,308
717eff45b,0.8005200131445727,4168,230
1998aa946,0.8005207052074932,4342,90
ea2bef361,0.8005210862580666,4356,71
56cb93fd8,0.8005221475781604,4275,109
2be024de7,0.8005244354349105,4287,108
166008929,0.8005248894525111,3532,268
56ec098a1,0.8005257003191109,4353,72
3c8a3ced0,0.8005258340675533,3747,272
1ba077222,0.8005277859098016,4232,122
